algo vs matrices,time to train(sec),time to predict(sec),accuracy_score,precision_score,recall_score,f1_score,fbeta_score,matthews_corrcoef,jaccard_score,cohen_kappa_score,hamming_loss,zero_one_loss,mean_absolute_error,mean_squared_error,mean_squared_error,balanced_accuracy_score,explained_variance_score
DT,0.091,50.761,0.940,0.940,0.940,0.940,0.940,0.930,0.891,0.930,0.060,0.060,0.164,0.660,0.812,0.934,86.800
Linear Regression,0.020,0.817,0.349,0.389,0.349,0.314,0.325,0.275,0.240,0.241,0.651,0.651,1.440,4.098,2.024,0.227,18.062
Logistic Regression,0.056,73.082,0.607,0.632,0.607,0.574,0.579,0.552,0.484,0.538,0.393,0.393,1.228,5.211,2.283,0.473,-3.830
KNN,91.043,0.187,0.865,0.867,0.865,0.865,0.866,0.844,0.779,0.844,0.135,0.135,0.466,2.251,1.500,0.834,54.972
Random Forest,6.392,758.774,0.962,0.963,0.962,0.962,0.963,0.956,0.930,0.956,0.038,0.038,0.100,0.382,0.618,0.958,92.361
MLP,0.563,2145.005,0.944,0.947,0.944,0.945,0.946,0.935,0.899,0.935,0.056,0.056,0.152,0.593,0.770,0.936,88.133
Bagging,1.046,350.276,0.957,0.957,0.957,0.957,0.957,0.950,0.920,0.950,0.043,0.043,0.116,0.456,0.675,0.953,90.876
J48,0.074,63.453,0.937,0.937,0.937,0.937,0.937,0.927,0.886,0.927,0.063,0.063,0.177,0.738,0.859,0.930,85.241
ANN,20.506,299.519,0.675,0.688,0.675,0.673,0.680,0.624,0.564,0.622,0.325,0.325,1.139,5.351,2.313,0.592,-6.132
DNN,21.263,340.339,0.813,0.825,0.813,0.813,0.819,0.784,0.711,0.783,0.187,0.187,0.628,3.000,1.732,0.776,40.324
Gradient Boosting,5.398,7439.382,0.955,0.957,0.955,0.955,0.956,0.948,0.917,0.948,0.045,0.045,0.124,0.501,0.708,0.949,89.984
XGBoost,1.673,67.004,0.965,0.966,0.965,0.965,0.966,0.960,0.935,0.960,0.035,0.035,0.092,0.351,0.592,0.960,92.981
Gaussian Naive Bayes,0.521,0.575,0.810,0.846,0.810,0.809,0.827,0.787,0.711,0.781,0.190,0.190,0.595,2.560,1.600,0.810,49.248
Adaptive Gradient Boosting,19.561,3755.371,0.888,0.888,0.888,0.888,0.888,0.870,0.813,0.870,0.112,0.112,0.321,1.442,1.201,0.877,71.155
QDA,0.764,1.466,0.074,0.011,0.074,0.019,0.013,0.000,0.010,0.000,0.926,0.926,3.939,20.286,4.504,0.111,-4.802
SNN,21.566,395.650,0.926,0.928,0.926,0.926,0.927,0.914,0.867,0.914,0.074,0.074,0.219,0.927,0.963,0.916,81.458
RBM,24.473,372.704,0.244,0.060,0.244,0.096,0.070,0.000,0.060,0.000,0.756,0.756,1.796,5.517,2.349,0.111,-0.001
LSTM,59.292,2495.780,0.880,0.882,0.880,0.880,0.881,0.861,0.800,0.861,0.120,0.120,0.355,1.539,1.240,0.859,69.250
reconstruction_NN,22.276,377.601,0.826,0.833,0.826,0.827,0.830,0.799,0.730,0.798,0.174,0.174,0.582,2.741,1.656,0.788,45.303
DANN,26.566,406.790,0.875,0.886,0.875,0.876,0.881,0.855,0.795,0.854,0.125,0.125,0.400,1.758,1.326,0.861,65.009
DBN,1.626,818.913,0.549,0.572,0.549,0.541,0.553,0.478,0.433,0.470,0.451,0.451,1.423,6.027,2.455,0.420,-18.300
DBM,17.076,345.335,0.914,0.917,0.914,0.915,0.916,0.901,0.850,0.900,0.086,0.086,0.260,1.141,1.068,0.901,77.175
DA,19.837,537.573,0.944,0.947,0.944,0.944,0.945,0.935,0.898,0.935,0.056,0.056,0.158,0.634,0.796,0.935,87.333
PassiveAggressiveClassifier,0.069,19.044,0.524,0.542,0.524,0.506,0.516,0.461,0.436,0.445,0.476,0.476,1.371,5.097,2.258,0.380,-1.317
RidgeClassifier,0.061,1.206,0.571,0.601,0.571,0.522,0.519,0.518,0.430,0.494,0.429,0.429,1.224,4.825,2.197,0.432,3.533
NearestCentroid,0.111,0.360,0.504,0.591,0.504,0.493,0.526,0.436,0.374,0.424,0.496,0.496,1.651,7.787,2.791,0.415,-49.858
CSLR,0.074,52.274,0.593,0.637,0.593,0.574,0.583,0.534,0.481,0.527,0.407,0.407,1.510,7.464,2.732,0.480,-39.486
CSBC erroralgo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LightGBM erroralgo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LDA,1.680,67.368,0.505,0.405,0.505,0.422,0.410,0.490,0.379,0.406,0.495,0.495,1.325,4.548,2.132,0.310,11.199
GRU,8.949,500.995,0.642,0.662,0.642,0.630,0.641,0.590,0.527,0.581,0.358,0.358,1.176,5.080,2.254,0.534,-0.272
Stochastic_gradient,0.016,3.512,0.570,0.562,0.570,0.557,0.556,0.502,0.461,0.500,0.430,0.430,1.515,7.469,2.733,0.446,-49.206
Extra Trees Classifier,0.804,14.199,0.947,0.948,0.947,0.947,0.948,0.939,0.903,0.939,0.053,0.053,0.146,0.567,0.753,0.943,88.693
Feed Forward Neural Networks,3.594,57.566,0.809,0.816,0.809,0.810,0.813,0.780,0.712,0.779,0.191,0.191,0.652,3.123,1.767,0.776,37.659
Fuzzy,0.109,27.353,0.136,0.214,0.136,0.145,0.171,0.047,0.079,0.045,0.864,0.864,2.919,13.124,3.623,0.139,-156.874
EDLNs,13.793,290.451,0.812,0.821,0.812,0.812,0.816,0.783,0.715,0.782,0.188,0.188,0.636,3.021,1.738,0.776,39.815
GMM,63.355,4.302,0.896,0.902,0.896,0.897,0.899,0.880,0.823,0.880,0.104,0.104,0.304,1.262,1.124,0.895,75.177
Bernoulli Naive Bayes,0.021,0.104,0.631,0.637,0.631,0.629,0.632,0.573,0.502,0.572,0.369,0.369,1.199,5.395,2.323,0.570,-6.398
CatBoost,0.108,214.400,0.954,0.956,0.954,0.954,0.955,0.947,0.915,0.947,0.046,0.046,0.128,0.516,0.718,0.948,89.701
Centralised Blending,0.000,58.385,0.784,0.791,0.784,0.749,0.750,0.752,0.636,0.744,0.216,0.216,0.306,0.705,0.840,0.725,85.923
BLoCNet,3.086,77.881,0.774,0.782,0.774,0.771,0.776,0.740,0.666,0.738,0.226,0.226,0.782,3.715,1.927,0.731,25.820
constructive_learning,0.012,3.423,0.909,0.910,0.909,0.909,0.910,0.895,0.842,0.895,0.091,0.091,0.254,1.046,1.023,0.899,79.115
AIS,0.400,48.223,0.949,0.950,0.949,0.949,0.949,0.940,0.906,0.940,0.051,0.051,0.143,0.573,0.757,0.943,88.575
GBBK,0.025,0.066,0.806,0.844,0.806,0.806,0.824,0.783,0.708,0.777,0.194,0.194,0.613,2.659,1.631,0.806,47.387
GE SVM,46.434,68.013,0.692,0.741,0.692,0.678,0.701,0.651,0.574,0.640,0.308,0.308,0.976,4.197,2.049,0.601,17.231
Hidden Naive Bayes (HNB),0.024,0.095,0.806,0.844,0.806,0.806,0.824,0.783,0.708,0.777,0.194,0.194,0.613,2.659,1.631,0.806,47.387
HistGradientBoostingClassifier,0.458,12.403,0.954,0.955,0.954,0.954,0.955,0.947,0.915,0.946,0.046,0.046,0.126,0.491,0.701,0.948,90.185
IGRF-RFE with k-fold Cross-Validation,0.007,1.628,0.899,0.899,0.899,0.899,0.899,0.882,0.823,0.882,0.101,0.101,0.319,1.455,1.206,0.884,70.929
ICA,0.697,74.049,0.892,0.892,0.892,0.892,0.892,0.875,0.816,0.875,0.108,0.108,0.384,1.982,1.408,0.870,60.447
Lasso Regression,0.016,176.660,0.606,0.629,0.606,0.578,0.587,0.551,0.484,0.538,0.394,0.394,1.236,5.261,2.294,0.477,-4.583
Meta (KNN),8.665,0.476,0.814,0.815,0.814,0.811,0.812,0.785,0.712,0.784,0.186,0.186,0.652,3.149,1.775,0.769,37.250
T-SNE Random Forest (T-SNERF) with k-fold Cross-Validation,0.529,1544.461,0.359,0.453,0.359,0.373,0.403,0.271,0.276,0.266,0.641,0.641,1.863,7.409,2.722,0.275,-47.994
Projected Gradient Descent (PGD),0.021,31.460,0.738,0.753,0.738,0.729,0.737,0.699,0.622,0.696,0.262,0.262,0.891,4.165,2.041,0.680,17.045
PCA,0.008,2.372,0.771,0.770,0.771,0.771,0.771,0.735,0.663,0.735,0.229,0.229,0.772,3.754,1.938,0.720,25.022
RBF,49.494,73.095,0.693,0.742,0.693,0.679,0.702,0.652,0.575,0.641,0.307,0.307,0.972,4.169,2.042,0.602,17.819
Stacked Convolutional Neural Networks with k-fold Cross-Validation,4.317,111.503,0.873,0.881,0.873,0.875,0.878,0.853,0.793,0.853,0.127,0.127,0.410,1.827,1.352,0.847,63.538
Simulated Annealing (SA),0.002,281.254,0.434,0.704,0.434,0.368,0.401,0.391,0.308,0.320,0.566,0.566,1.897,8.093,2.845,0.274,-17.445
SVM with Optimization and k-fold Cross-Validation,14.519,64.195,0.608,0.618,0.608,0.561,0.572,0.564,0.480,0.539,0.392,0.392,1.156,4.689,2.165,0.478,7.918
Stacking Classifier,1.350,314.253,0.931,0.931,0.931,0.931,0.931,0.920,0.877,0.920,0.069,0.069,0.192,0.774,0.880,0.927,84.543
Stacking Dilated Convolutional Autoencoders,0.021,18.741,0.907,0.907,0.907,0.907,0.907,0.892,0.837,0.892,0.093,0.093,0.274,1.151,1.073,0.895,77.003
Temporal Deep Feedforward Neural Network,3.133,80.568,0.677,0.754,0.677,0.637,0.639,0.637,0.550,0.622,0.323,0.323,1.009,4.350,2.086,0.579,13.111
Voting Classifier,0.187,6.603,0.908,0.910,0.908,0.909,0.909,0.894,0.840,0.894,0.092,0.092,0.262,1.095,1.046,0.899,78.191
GBT,0.580,686.211,0.950,0.952,0.950,0.950,0.951,0.942,0.908,0.942,0.050,0.050,0.141,0.578,0.760,0.943,88.454
CART,0.020,5508.610,0.254,0.135,0.254,0.114,0.103,0.088,0.070,0.015,0.746,0.746,1.752,5.296,2.301,0.125,3.452
